name,address,lat,lng,zone
DHYANA YOGA,"José Ignacio Gorriti 802, Lomas de Zamora",-34.7608395,-58.4088889,lomas2
Exhalar Yoga,"Balcarce 398, Lomas de Zamora",-34.7616704,-58.3923234,lomas2
Yoga - Espacio Rudraksha,"Colón 151, Temperley",-34.7678851,-58.3934965,lomas2
Alma en Yoga,"Av. Hipólito Yrigoyen 6786 1er piso, Remedios de Escalada",-34.7340536,-58.39701100000001,lomas2
Yoga Sol,"CMI, Gral. Carlos María de Alvear 1305, Banfield",-34.7439151,-58.40491009999999,lomas2
Disfruta el Yoga,"Gral. Villegas 935 dpto 3, Remedios de Escalada",-34.732285,-58.40757459999999,lomas2
Alma Yoga,"Av. 12 de Octubre 1057, Lomas de Zamora",-34.744909,-58.4244144,lomas2
OMKARA YOGA,"Ignacio Álvarez Thomas 28, Lomas de Zamora",-34.7593419,-58.4125285,lomas2
Escuela de Yoga Seva,"14 de Julio 148, Temperley",-34.7739323,-58.39295480000001,lomas2
Ātman - Academia de Yoga y Autoconocimiento,"C. Molina Arrotea 899, Lomas de Zamora",-34.7674182,-58.4128268,lomas2
Creayoga,"Av. Colombres 1632, Lomas de Zamora",-34.761448,-58.42137569999999,lomas2
Kenko Espacio de yoga,"Carlos Casares 169, Temperley",-34.7630533,-58.3864206,lomas2
Terra Yoga Estudio,"Cornelio Saavedra 647, Buenos Aires",-34.7674958,-58.40710399999999,lomas2
NATCO YOGA,"Sánchez de Bustamante 1575, Lomas de Zamora",-34.7672645,-58.4215826,lomas2
Espacio Nidra,"Av. Hipólito Yrigoyen 10310, Temperley",-34.7769044,-58.4053654,lomas2
Ananda Yoga Om,"San Francisco 589, Temperley",-34.7848775,-58.4166661,lomas2
Om Shanti,"Leandro N. Alem 207, Lomas de Zamora",-34.7582535,-58.39902799999999,lomas2
Espacio Modo Om,"Lituania 629, Temperley",-34.7741816,-58.3708368,lomas2
Espacio Sincronicidad,"Antonio Mentruyt 2080, Banfield",-34.7334441,-58.41174040000001,lomas2
Syl Yoga @yogaespaciosagrado,"Coronel Justo G. Bermúdez 1500, Lomas de Zamora",-34.7748341,-58.41934630000001,lomas2
BONHOMIA ESPACIO SAGRADO,"Balcarce 225, Lomas de Zamora",-34.7615526,-58.39469469999999,lomas2
Yoga Tradicional Lomas de Zamora,"Ramon Falcon 140, Lomas de Zamora",-34.7670797,-58.39913559999999,lomas2
Yoga Darshan Temperley,"B1836ADE, 25 de Mayo 60, Temperley",-34.7767722,-58.39806349999999,lomas2
Casa Shambala,"Bernardo de Irigoyen 345, Temperley",-34.7661628,-58.38786959999999,lomas2
Shala Prana Yoga,"Miguel Cané 853, Banfield",-34.7522555,-58.3837507,lomas2
CENTRO DE YOGA NAMASTE,"Av. Almte. Brown 3617, Temperley",-34.7785438,-58.3911689,lomas2
Prasad Estudio de Yoga,"Rincón 217, Banfield",-34.7410842,-58.39249459999999,lomas2
Aju Yoga,"Maipú 254, Banfield",-34.7432717,-58.3924025,lomas2
Dharma Centro Holístico,"Simón Bolívar 361, Lomas de Zamora",-34.7640085,-58.4079934,lomas2
Samana,"Av. Adolfo Alsina 1604, ABT",-34.7554064,-58.3952574,lomas2
Dejar Fluir Yoga,"Sixto Fernández 1045, Lomas de Zamora",-34.7649203,-58.41288549999999,lomas2
AleGioYoga,"ISE, Granaderos 3745, Banfield",-34.7425819,-58.3745801,lomas2
Espacio Arunachala,"Sta María de Oro 22, Temperley",-34.7751092,-58.3955733,lomas2
Yoga integral y dinamico,"Av. Hipólito Yrigoyen 7030, Banfield",-34.7368022,-58.3978793,lomas2
Pilates y Yoga - Infinito Azul Casa,"Cochabamba, entre Pueyrredón, Viamonte &, Banfield",-34.745022,-58.388016,lomas2
Ananda YOGA,"Ciudad Autónoma de Buenos Aires AR, Gral. Palacios 1437, Banfield",-34.7450994,-58.38446249999999,lomas2
MAHA YOGA,"Fray Luis Beltrán 985, Lomas de Zamora",-34.7700062,-58.4184838,lomas2
Fudomyo Dojo,"Av. Presbitero Pedro F. Uriarte 225, Remedios de Escalada",-34.7351628,-58.3978289,lomas2
Pilates Banfield,"Belgrano 1604, Banfield",-34.7420862,-58.39161389999999,lomas2
"kinesistar, Traumatología, Kinesiología. Yoga","Av. Hipólito Yrigoyen 6788, Lanús",-34.7339551,-58.39688899999999,lomas2
